scan_id,diameter_um,flow_mm_s,region,side,n_defined,curve_median,curve_MAD,RCV,first_median,last_median,first_coverage,last_coverage,signed_difference,absolute_difference,relative_difference,status
D285_F05_V01,285,5,tail100,right,492,16215588.090008371,1152269.5962870847,0.10535263315598627,17716310.574930586,15023046.899916921,51,50,-2693263.6750136651,2693263.6750136651,-0.16609102673699422,ok
D285_F05_V01,285,5,tail100,bg,492,16012855.987915646,957705.25939375535,0.08867211562064424,17806959.747287661,14824771.027707908,51,50,-2982188.7195797525,2982188.7195797525,-0.18623715356150758,ok
D285_F05_V01,285,5,tail500,left,492,15814546.140018927,787672.53582410887,0.073843617848613527,17545555.595536586,14857342.920837229,51,50,-2688212.6746993568,2688212.6746993568,-0.16998354874673244,ok
D285_F05_V01,285,5,tail500,right,492,15919719.759931443,826185.4617600441,0.076942470349786879,18189438.404310171,14912730.652247515,51,50,-3276707.752062656,3276707.752062656,-0.20582697443643735,ok
D285_F05_V01,285,5,tail500,bg,492,15859365.175099412,774668.15507584065,0.072419229523683751,17870370.242886778,14849762.57616356,51,50,-3020607.6667232178,3020607.6667232178,-0.19046207924298481,ok
D285_F07_V01,285,7,source,left,458,18847488.619015716,917045.10708622076,0.072137519393129346,19601135.332759354,18485147.239337914,30,50,-1115988.0934214406,1115988.0934214406,-0.059211501117209402,ok
D285_F07_V01,285,7,source,right,458,18813595.161067244,933315.37996777892,0.073549652285689632,20603653.501224641,18319550.832463033,30,50,-2284102.6687616073,2284102.6687616073,-0.12140702769496803,ok
D285_F07_V01,285,7,source,bg,458,18870918.899931256,731751.09834717587,0.057490267652704236,19531731.293668117,18734327.744087845,30,50,-797403.54958027229,797403.54958027229,-0.042255682079327742,ok
D285_F07_V01,285,7,tail100,left,458,17698085.888202947,1063249.4833281711,0.089070292343485208,18461365.935238402,16509386.304415492,30,50,-1951979.63082291,1951979.63082291,-0.11029326239873463,ok
D285_F07_V01,285,7,tail100,right,458,18050384.742493965,1290252.5262344601,0.10597715354464557,19403822.686805509,16210070.190840406,30,50,-3193752.4959651027,3193752.4959651027,-0.1769354250076684,ok
D285_F07_V01,285,7,tail100,bg,458,17857085.602694318,959706.45045731775,0.079680459348491606,18888437.06060534,16299736.325077396,30,50,-2588700.7355279438,2588700.7355279438,-0.14496770599214437,ok
D285_F07_V01,285,7,tail500,left,458,16764757.82910612,653870.8708326919,0.057825407499383953,18046553.698989864,15879414.615897983,30,50,-2167139.0830918811,2167139.0830918811,-0.1292675447616311,ok
D285_F07_V01,285,7,tail500,right,458,16992471.96435535,848198.11810834985,0.074005626288237758,18775568.518086404,15886120.275919728,30,50,-2889448.2421666756,2889448.2421666756,-0.17004284298528155,ok
D285_F07_V01,285,7,tail500,bg,458,16837908.895567719,676620.8045961326,0.059577350793143302,18460146.334119573,15911351.125755964,30,50,-2548795.2083636094,2548795.2083636094,-0.15137243134950887,ok
D285_F10_V01,285,10,source,left,494,14784159.136007085,756697.08936182503,0.075883862881013286,15320841.923792703,14637473.964217439,45,51,-683367.95957526378,683367.95957526378,-0.046222984566698072,ok
D285_F10_V01,285,10,source,right,494,14980612.533678375,737204.48872249294,0.072959591773888249,16070651.067869542,14900982.513413576,45,51,-1169668.5544559658,1169668.5544559658,-0.078078820330370197,ok
D285_F10_V01,285,10,source,bg,494,14801853.068347219,620365.29289541021,0.062137732282559081,15791879.290751172,14724504.632062504,45,51,-1067374.6586886682,1067374.6586886682,-0.072110880560703444,ok
D285_F10_V01,285,10,tail100,left,494,15055911.782264709,840957.49157014675,0.082811562330657826,15820418.113910174,14796341.551916992,45,51,-1024076.5619931817,1024076.5619931817,-0.068018236079166253,ok
D285_F10_V01,285,10,tail100,right,494,15180650.021646917,939323.35855675954,0.091737890631192281,16250977.505218783,14735817.23220391,45,51,-1515160.2730148733,1515160.2730148733,-0.099808655812124225,ok
D285_F10_V01,285,10,tail100,bg,494,15078111.289081413,687045.86942284089,0.067555822243062891,15958927.568872645,14764402.370379573,45,51,-1194525.1984930728,1194525.1984930728,-0.079222468622981324,ok
D285_F10_V01,285,10,tail500,left,494,14973604.73564468,507371.70108541846,0.050237020230576739,15968968.434929706,14667172.799602157,45,51,-1301795.6353275497,1301795.6353275497,-0.086939361517178557,ok
D285_F10_V01,285,10,tail500,right,494,15096202.979775835,549331.67594393995,0.053949933227949949,16295918.960438231,14793921.675740937,45,51,-1501997.2846972942,1501997.2846972942,-0.099495037706468198,ok
D285_F10_V01,285,10,tail500,bg,494,14996471.22404369,428932.99819378741,0.042405713558968418,16134703.145732874,14698904.995718418,45,51,-1435798.1500144564,1435798.1500144564,-0.095742400232959851,ok
