scan_id,diameter_um,flow_mm_s,mode,pair,metric,baseline_51,value,change
D285_F07_V01,285,7,detrended_31,C100,rho0,0.29513468010165073,0.21628055223154416,-0.078854127870106566
D285_F07_V01,285,7,detrended_31,C100,specificity,0.28379512432967924,0.20470417553413714,-0.079090948795542099
D285_F07_V01,285,7,detrended_101,C16,rho_median,0.10966066457883336,0.13555462407815183,0.02589395949931847
D285_F07_V01,285,7,detrended_101,W100,rho0,0.22928497994187977,0.32036702007967666,0.091082040137796888
D285_F07_V01,285,7,detrended_101,W100,specificity,0.21335519142293413,0.38803761774540008,0.17468242632246594
D285_F07_V01,285,7,detrended_101,W500,rho0,0.24010875983557273,0.35827866459772212,0.11816990476214939
D285_F07_V01,285,7,detrended_101,W500,specificity,0.21728391618158993,0.44929270229907925,0.23200878611748932
D285_F07_V01,285,7,detrended_101,C100,rho0,0.29513468010165073,0.36431216295005686,0.069177482848406135
D285_F07_V01,285,7,detrended_101,C100,specificity,0.28379512432967924,0.40987067789875326,0.12607555356907402
D285_F10_V01,285,10,detrended_31,C16,rho_median,0.17159429904284068,0.083247561050693336,-0.088346737992147345
D285_F10_V01,285,10,detrended_31,W100,rho0,0.25952167765251671,0.18361449966440724,-0.075907177988109475
D285_F10_V01,285,10,detrended_31,W100,specificity,0.24433929508210955,0.171032322506151,-0.073306972575958557
D285_F10_V01,285,10,detrended_31,W500,rho0,0.31982355557276509,0.24465635228834803,-0.075167203284417061
D285_F10_V01,285,10,detrended_31,W500,specificity,0.30749357110608105,0.23483781241810481,-0.072655758687976246
D285_F10_V01,285,10,detrended_31,C100,rho0,0.42078610553026968,0.31426591181317459,-0.10652019371709509
D285_F10_V01,285,10,detrended_31,C100,specificity,0.41767623047758923,0.30132837405577423,-0.116347856421815
D285_F10_V01,285,10,detrended_101,C16,rho_median,0.17159429904284068,0.22336732791209746,0.051773028869256776
D285_F10_V01,285,10,detrended_101,W100,rho0,0.25952167765251671,0.35257478026299854,0.09305310261048183
D285_F10_V01,285,10,detrended_101,W100,specificity,0.24433929508210955,0.48557857471505916,0.24123927963294961
D285_F10_V01,285,10,detrended_101,W500,rho0,0.31982355557276509,0.4084558362056136,0.088632280632848504
D285_F10_V01,285,10,detrended_101,W500,specificity,0.30749357110608105,0.55958892779729497,0.25209535669121391
D285_F10_V01,285,10,detrended_101,C100,rho0,0.42078610553026968,0.51322328088211333,0.092437175351843648
D285_F10_V01,285,10,detrended_101,C100,specificity,0.41767623047758923,0.64866383934930272,0.23098760887171349
