scan_id,diameter_um,flow_mm_s,offset,support,mode,n_common,pair,rho0,n_pairs0,rho0_status,specificity,specificity_status,n_far_defined,peak_lag,peak_rho,zero_lag_rank,peak_rank_status,n_lags_defined,boundary_peak,baseline_common_rho0,rho0_change,baseline_common_specificity,specificity_change
D235_F01_V01,235,1,zm,five_position_common,detrended_51,448,C100,0.36862105773934895,448,ok,0.37694612261269295,ok,42,-2,0.41685780456965271,3,ok,101,False,0.39241701973925625,-0.0237959619999073,0.39210583513723413,-0.01515971252454118
D235_F03_V01,235,3,baseline,five_position_common,detrended_51,448,W100,0.25799815011656796,448,ok,0.2390157689347065,ok,42,0,0.25799815011656796,1,ok,101,False,0.25799815011656796,0,0.2390157689347065,0
D235_F03_V01,235,3,baseline,five_position_common,detrended_51,448,W500,0.32820670645012101,448,ok,0.31419976074783146,ok,42,-1,0.34453608194858815,2,ok,101,False,0.32820670645012101,0,0.31419976074783146,0
D235_F03_V01,235,3,baseline,five_position_common,detrended_51,448,C100,0.3042269175368118,448,ok,0.32794685789859829,ok,42,0,0.3042269175368118,1,ok,101,False,0.3042269175368118,0,0.32794685789859829,0
D235_F03_V01,235,3,xp,five_position_common,detrended_51,448,W100,0.27203218574963711,448,ok,0.28038220530587205,ok,42,0,0.27203218574963711,1,ok,101,False,0.25799815011656796,0.014034035633069153,0.2390157689347065,0.041366436371165549
D235_F03_V01,235,3,xp,five_position_common,detrended_51,448,W500,0.32608039596922661,448,ok,0.32360500354013311,ok,42,-1,0.3380501070370151,2,ok,101,False,0.32820670645012101,-0.0021263104808944,0.31419976074783146,0.0094052427923016491
D235_F03_V01,235,3,xp,five_position_common,detrended_51,448,C100,0.29487146977699824,448,ok,0.31509131978372057,ok,42,0,0.29487146977699824,1,ok,101,False,0.3042269175368118,-0.0093554477598135621,0.32794685789859829,-0.012855538114877718
D235_F03_V01,235,3,xm,five_position_common,detrended_51,448,W100,0.27019295388058301,448,ok,0.2336862680077928,ok,42,0,0.27019295388058301,1,ok,101,False,0.25799815011656796,0.01219480376401505,0.2390157689347065,-0.0053295009269136995
D235_F03_V01,235,3,xm,five_position_common,detrended_51,448,W500,0.33653739065264826,448,ok,0.30110007985102255,ok,42,-1,0.3484080485102925,2,ok,101,False,0.32820670645012101,0.0083306842025272498,0.31419976074783146,-0.013099680896808907
D235_F03_V01,235,3,xm,five_position_common,detrended_51,448,C100,0.30179277883744388,448,ok,0.29890439685144227,ok,42,0,0.30179277883744388,1,ok,101,False,0.3042269175368118,-0.002434138699367927,0.32794685789859829,-0.029042461047156021
D235_F03_V01,235,3,zp,five_position_common,detrended_51,448,W100,0.24739098785976871,448,ok,0.25244682397309615,ok,42,0,0.24739098785976871,1,ok,101,False,0.25799815011656796,-0.010607162256799252,0.2390157689347065,0.01343105503838965
